COMPOUND_ID	SOURCES	SYNONYMS	MW_FREEBASE	ALOGP	HBA	HBD	PSA	RTB	RO3_PASS	NUM_RO5_VIOLATIONS	MED_CHEM_FRIENDLY	PCT_IHB_3D7	PCT_INHB_DD2	PCT_INHIB_3D7_PFLDH	pXC50_3D7	PCT_INHIB_HEPG2	IFI	SMILES
538727	TCMDC-124190, 638727 (CHEMBL), COMMERCIAL		434.49578	4.755	7	4	102.91	7	N	0	Y	87	23	6	6.03322	3	2.94	Cc1c(c2ccccc2[nH]1)C=NNc3nc(nc(n3)Nc4ccccc4)Nc5ccccc5
538729	TCMDC-142210, 638729 (CHEMBL)		370.44214	5.037	4	2	95.15	6	N	1	Y	95	97	0	6.22981	49	12.95	CC(C)(C)CC(C)(C)c1ccc(c(c1)C(=O)Nc2cccc(c2)N(=O)=O)O
543079	TCMDC-139901, 643079 (CHEMBL)		519.67648	5.78	3	3	68.36	5	N	2	Y	85	46	0	5.92355	22	3.01	c1ccc2c(c1)c(c[nH]2)C3CCN(CC3)CC4CCC(CC4)NC(=O)C5(c6ccccc6-c7c5cccc7)O
540728	TCMDC-125475, 640728 (CHEMBL), COMMERCIAL		311.33848	2.089	4	2	88.91	4	N	0	N	89	85	0	6.45464	0	0	CC(C)CC(=O)Nc1cc(=O)[nH]c2n1nc(n2)c3ccccc3
538174	TCMDC-137467, 638174 (CHEMBL)		360.87769	3.998	4	1	45.59	4	N	0	Y	98	82	0	7.19707	0	2.9	CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](c3cc(nc4c3cc(cc4)OC)Cl)O
538179	TCMDC-132695, 638179 (CHEMBL)		430.56513	5.067	3	2	103.25	5	N	1	Y	97	51	8	6.04221	4	3.85	Cc1cccc2c1[nH]c(n2)c3ccc(s3)c4ccc(cc4)CN5CCC(CC5)C(=O)N.C(=O)(C(F)(F)F)O
541436	TCMDC-139564, 641436 (CHEMBL)		574.58154	7.063	4	2	70.67	16	N	2	N	99	25	0	6.1582	10	4.58	CCCCCCOc1ccc(cc1)C(=O)N[C@H]2CCN(C2)CCCCCNC(=O)/C=C/c3ccc(c(c3)Cl)Cl
542371	TCMDC-140030, 642371 (CHEMBL)		570.4852	6.313	5	2	73.49	8	N	2	Y	99	91	0	6.7334	0	1.54	Cc1cc2c(cc1Cl)nc([nH]2)c3ccc(cc3F)C(=O)NCCCN4CCN(CC4)c5cc(ccc5OC)Cl
538019	TCMDC-141313, 638019 (CHEMBL)		689.75651	9.096	4	0	43.86	14	N	2	N	87	52	3	6.02596	61	5.88	CCN(CC)CCN(Cc1ccc(cc1)c2ccc(cc2)C(F)(F)F)C(=O)Cn3c4ccccc4c(=O)c(c3CCc5cccc(c5F)F)C.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O
541397	TCMDC-135641, 641397 (CHEMBL)		472.44653	6.192	2	0	61.44	6	N	1	Y	100	99	1	6.97206	0	.69	Cc1cccc(c1N(Cc2nc(cs2)c3cc(cc(c3)C(F)(F)F)C(F)(F)F)C(=O)C)C
538056	TCMDC-125231, 638056 (CHEMBL), COMMERCIAL		357.80918	3.614	3	2	54.02	6	N	0	Y	100	97	3	6.50118	18	1.45	c1ccc(c(c1)C(=O)NCCCNc2ccnc3c2ccc(c3)Cl)F
542367	TCMDC-139058, 642367 (CHEMBL)		450.40125	5.071	3	2	57.36	8	N	1	N	100	91	3	6.10162	41	15.04	C[C@@H]1CCCCN1CCCNC(=O)/C(=C/C=C/c2cc3cc(c(cc3[nH]2)Cl)Cl)/OC
538142	TCMDC-124283, 638142 (CHEMBL), COMMERCIAL		153.11716	.127	4	2	80.48	0	N	0	Y	89	25	0	6.36467	78	7.75	c1[nH]c2c(n1)c(nc(n2)F)N
537558	TCMDC-136282, 637558 (CHEMBL)		494.4339	4.281	5	1	79.91	8	N	0	Y	87	37	1	5.97915	28	3.39	Cc1cc(c2ccccc2n1)OCCCN3CCC(C3)NS(=O)(=O)c4ccc(c(c4)Cl)Cl
538670	TCMDC-134651, 638670 (CHEMBL)		528.64691	1.906	9	2	150.44	7	N	1	Y	97	15	0	6.08427	0	.7	COc1ccc2c(n1)c(ccn2)N3CCCN(CC3)CCNS(=O)(=O)c4ccc5c(c4)NC(=O)CS5.Cl
538706	TCMDC-136713, 638706 (CHEMBL)		418.48648	6.142	4	0	44.24	7	N	1	Y	87	95	5	6.03595	0	7.84	c1ccc(cc1)COc2ccccc2COc3ccccc3c4ccc5cccnc5n4
538744	TCMDC-124668, 638744 (CHEMBL), COMMERCIAL		480.60067	4.054	5	2	66.49	7	N	0	Y	91	6	0	5.80898	13	2.44	CC(c1ccc2cc(ccc2c1)OC)NC3CCN(CC3)c4cccc(c4)NC(=O)c5ccncc5
538196	TCMDC-137552, 638196 (CHEMBL)		394.56124	2.936	4	6	206.06	13	N	1	N	100	28	0	6.22351	27	10.07	c1c(nc(s1)NC(=N)N)CCCCCCCCc2csc(n2)NC(=N)N
538201	TCMDC-136722, 638201 (CHEMBL)		493.04351	6.037	5	1	62.21	7	N	1	Y	99	67	1	6.05651	41	17.07	Cc1cc(nn1Cc2cc(ccc2OCC(C)C)Cl)c3[nH]c4cc(ccc4n3)N5CCN(CC5)C.Cl
538237	TCMDC-123864, 638237 (CHEMBL), COMMERCIAL		385.34256	3.8	6	1	74.5	4	N	0	Y	99	3	0	6.13397	0	0	c1ccc(cc1)c2cnnc(n2)N3C(CC(=N3)c4ccccc4)(C(F)(F)F)O
538241	TCMDC-138122, 638241 (CHEMBL)		460.6095	4.405	5	3	111.63	12	N	0	Y	96	87	2	6.27295	24	2.92	CCC[C@@H]([C@@H](CC1CCCCC1)C(=O)N[C@@H]([C@H](C)CC)C(=O)Nc2ccccn2)N(C=O)O
538243	TCMDC-136559, 638243 (CHEMBL)		761.84561	6.996	7	0	94.41	11	N	2	Y	100	63	3	6.6376	49	11.11	c1cc(c(c(c1)F)F)CCc2nc(=O)c3cccnc3n2CC(=O)N(Cc4ccc(cc4)c5ccc(cc5)C(F)(F)F)C6CCN(CC6)C7CCSCC7.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O
538364	TCMDC-141662, 638364 (CHEMBL)		331.53858	3.793	3	1	18.5	10	N	0	Y	92	26	1	5.89684	18	3.38	CCCCCCN1CCC(CC1)NCc2ccc(cc2)CN(C)C.C(=O)(C(F)(F)F)O
538365	TCMDC-135506, 638365 (CHEMBL)		582.75398	3.008	6	3	121.28	10	N	1	Y	98	99	0	7.07782	0	2.19	CCc1cn2c3c1cc(cc3N(S(=O)(=O)CC2)C(C)C)C(=O)N[C@@H](Cc4ccccc4)[C@@H](CNC5CCOCC5)O.C(=O)O
538397	TCMDC-138959, 638397 (CHEMBL)		362.42498	3.268	6	2	81.76	7	N	0	Y	93	68	2	6.06949	40	22.63	COc1ccc(cc1)Cc2c(ccc(n2)/N=C(\N)/Nc3ccccc3)OC
541497	TCMDC-136820, 641497 (CHEMBL)		447.48794	4.082	4	3	99.77	5	N	0	Y	100	100	0	6.68951	3	2.7	CC(=O)Nc1ccc(cn1)C(=O)Nc2cccc(c2)c3cccc(c3)c4[nH]c5ccccc5n4
