"CompoundID"	"FragA"	"FragB"	"Ca"	"Cb"	"IntAB"	"UnionAB"	"CommonProp"	"PIa"	"PIb"	"PIaU"	"PIbU"	"FragEffA"	"FragEffB"
530154	15	5	2162	630	531	2261	0.234851835471031	0.956214064573198	0.278637770897833	0.721362229102167	0.0437859354268023	144.133333333333	126
534099	15	5	2024	630	529	2125	0.248941176470588	0.952470588235294	0.296470588235294	0.703529411764706	0.0475294117647059	134.933333333333	126
526191	36	6	1962	814	797	1979	0.402728650833754	0.991409802930773	0.411318847902981	0.588681152097019	0.00859019706922692	54.5	135.666666666667
529531	39	6	2363	814	805	2372	0.3393760539629	0.996205733558179	0.343170320404722	0.656829679595278	0.00379426644182124	60.5897435897436	135.666666666667
530189	56	8	3157	2945	2723	3379	0.805859721811187	0.934300088783664	0.871559633027523	0.128440366972477	0.0656999112163362	56.375	368.125
530938	57	8	3191	2945	2725	3411	0.798885957197303	0.935502785107007	0.863383172090296	0.136616827909704	0.0644972148929932	55.9824561403509	368.125
531294	57	8	3171	2945	2728	3388	0.805194805194805	0.935950413223141	0.869244391971665	0.130755608028335	0.0640495867768595	55.6315789473684	368.125
531771	54	8	3259	2945	2725	3479	0.783271054900834	0.936763437769474	0.84650761713136	0.15349238286864	0.063236562230526	60.3518518518519	368.125
532654	51	8	3184	2945	2725	3404	0.800528789659224	0.935370152761457	0.865158636897767	0.134841363102233	0.0646298472385429	62.4313725490196	368.125
532971	51	8	2853	2945	2713	3085	0.879416531604538	0.924797406807131	0.954619124797407	0.0453808752025932	0.0752025931928687	55.9411764705882	368.125
533556	40	8	3228	2945	2725	3448	0.790313225058005	0.936194895591647	0.854118329466357	0.145881670533643	0.0638051044083526	80.7	368.125
535975	52	8	2914	2945	2718	3141	0.865329512893983	0.927730022285896	0.937599490608087	0.0624005093919134	0.0722699777141038	56.0384615384615	368.125
536078	53	8	3761	2945	2726	3980	0.684924623115578	0.944974874371859	0.739949748743719	0.260050251256281	0.0550251256281407	70.9622641509434	368.125
530215	12	8	1187	615	415	1387	0.299206921413122	0.855803893294881	0.443403028118241	0.556596971881759	0.144196106705119	98.9166666666667	76.875
531613	44	8	884	521	345	1060	0.325471698113208	0.833962264150943	0.491509433962264	0.508490566037736	0.166037735849057	20.0909090909091	65.125
532624	21	4	413	521	343	591	0.580372250423012	0.698815566835871	0.88155668358714	0.11844331641286	0.301184433164129	19.6666666666667	130.25
536680	44	7	360	521	343	538	0.637546468401487	0.669144981412639	0.968401486988848	0.0315985130111525	0.330855018587361	8.18181818181818	74.4285714285714
539953	41	7	447	534	351	630	0.557142857142857	0.70952380952381	0.847619047619048	0.152380952380952	0.29047619047619	10.9024390243902	76.2857142857143
541432	47	7	119	521	106	534	0.198501872659176	0.222846441947566	0.975655430711611	0.0243445692883895	0.777153558052434	2.53191489361702	74.4285714285714
527806	39	6	1234	605	598	1241	0.481869460112812	0.994359387590653	0.48751007252216	0.512489927477841	0.00564061240934732	31.6410256410256	100.833333333333
529287	20	6	1751	539	486	1804	0.26940133037694	0.970620842572062	0.298780487804878	0.701219512195122	0.029379157427938	87.55	89.8333333333333
534416	42	6	1294	605	598	1301	0.459646425826287	0.994619523443505	0.465026902382782	0.534973097617218	0.00538047655649498	30.8095238095238	100.833333333333
534497	23	5	2332	615	611	2336	0.261558219178082	0.998287671232877	0.263270547945205	0.736729452054794	0.00171232876712324	101.391304347826	123
539335	37	6	1212	605	596	1221	0.488124488124488	0.992628992628993	0.495495495495495	0.504504504504504	0.00737100737100738	32.7567567567568	100.833333333333
540718	21	3	2244	585	585	2244	0.260695187165775	1	0.260695187165775	0.739304812834225	0	106.857142857143	195
540778	24	3	1208	585	584	1209	0.483043837882548	0.999172870140612	0.483870967741935	0.516129032258065	0.000827129859387932	50.3333333333333	195
541123	38	6	1784	605	601	1788	0.336129753914989	0.997762863534676	0.338366890380313	0.661633109619687	0.00223713646532442	46.9473684210526	100.833333333333
524545	27	4	211	167	167	211	0.791469194312796	1	0.791469194312796	0.208530805687204	0	7.81481481481481	41.75
527997	25	4	418	167	167	418	0.399521531100478	1	0.399521531100478	0.600478468899522	0	16.72	41.75
531429	30	4	290	167	167	290	0.575862068965517	1	0.575862068965517	0.424137931034483	0	9.66666666666667	41.75
534587	23	4	909	167	167	909	0.183718371837184	1	0.183718371837184	0.816281628162816	0	39.5217391304348	41.75
538004	76	13	1965	2010	1748	2227	0.784912438257746	0.882352941176471	0.902559497081275	0.0974405029187247	0.117647058823529	25.8552631578947	154.615384615385
541040	27	4	209	167	167	209	0.799043062200957	1	0.799043062200957	0.200956937799043	0	7.74074074074074	41.75
541151	27	4	500	167	167	500	0.334	1	0.334	0.666	0	18.5185185185185	41.75
541270	30	4	290	167	167	290	0.575862068965517	1	0.575862068965517	0.424137931034483	0	9.66666666666667	41.75
524915	27	5	1998	152	126	2024	0.0622529644268775	0.987154150197628	0.075098814229249	0.924901185770751	0.0128458498023716	74	30.4
525704	31	6	2162	415	387	2190	0.176712328767123	0.987214611872146	0.189497716894977	0.810502283105023	0.0127853881278539	69.741935483871	69.1666666666667
526589	26	5	179	152	89	242	0.367768595041322	0.739669421487603	0.628099173553719	0.371900826446281	0.260330578512397	6.88461538461539	30.4
528707	26	5	136	152	84	204	0.411764705882353	0.666666666666667	0.745098039215686	0.254901960784314	0.333333333333333	5.23076923076923	30.4
530147	27	4	695	199	136	758	0.179419525065963	0.91688654353562	0.262532981530343	0.737467018469657	0.08311345646438	25.7407407407407	49.75
