Name	SMILES	PSMI	CLink	N_Clink	Graph_Frame	N_Graph_Frame	Bond_Frame	N_Bond_Frame	Detail_Frame	N_Detail_Frame
1026	c1ccc2cc(ccc2c1)S(=O)(=O)c3ccc4c(c3)c(nc(n4)N)N	Nc1nc(N)c2cc(ccc2n1)S(=O)(=O)c1ccc2ccccc2c1	695	4	1275	3	2144	2	1878	2
117476	c1cc-2c(c(c1)Br)CCc3c2c(=O)[nH]c(n3)N	Nc1nc2CCc3c(Br)cccc3-c2c(=O)[nH]1	1073	2	380	8	329	9	2218	2
119305	c1ccc2c(c1)c(=O)n-3c(n2)C(=O)c4c3cccc4	O=C1c2ccccc2-n2c1nc1ccccc1c2=O	1452	1	68	26	34	40	2248	2
1216	COc1cc(cc(c1OC)OC)Cc2cnc(nc2N)N	COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	233	13	2	130	2	136	8	67
125406	CCCCCCCC/C=C\CCCCCCCC(=O)NCc1ccc(c(c1)OC)O	CCCCCCCC\C=C/CCCCCCCC(=O)NCc1ccc(O)c(OC)c1	337	9	4	115	4	108	4	90
128040	CN(CCc1ccc(c(c1)OC)OC)CCOc2ccc(cc2)NC(=O)c3cccc4c3nc5ccccc5c4	COc1ccc(CCN(C)CCOc2ccc(NC(=O)c3cccc4cc5ccccc5nc34)cc2)cc1OC	170	17	862	4	847	4	878	4
128402	CN(CCCOc1ccc(c(c1)OC)NC(=O)c2cccc3c2[nH]c4c(c3=O)cccc4F)Cc5ccc(c(c5)OC)OC	COc1ccc(CN(C)CCCOc2ccc(NC(=O)c3cccc4c3[nH]c3c(F)cccc3c4=O)c(OC)c2)cc1OC	170	17	735	4	827	4	703	4
128695	CN(CCCc1ccc(cc1)NC(=O)c2cccc3c2[nH]c4ccccc4c3=O)Cc5ccc(c(c5)OC)OC	COc1ccc(CN(C)CCCc2ccc(NC(=O)c3cccc4c3[nH]c3ccccc3c4=O)cc2)cc1OC	170	17	2216	2	1947	2	1996	2
128714	CN(CCc1ccc(c(c1)OC)NC(=O)c2cccc3c2[nH]c4c(c3=O)cccc4F)Cc5ccc(c(c5)OC)OC	COc1ccc(CN(C)CCc2ccc(NC(=O)c3cccc4c3[nH]c3c(F)cccc3c4=O)c(OC)c2)cc1OC	170	17	266	10	69	25	1624	2
13004	COc1cc(cc(c1OC)OCCCC(=O)O)Cc2cnc(nc2N)N	COc1cc(Cc2cnc(N)nc2N)cc(OCCCC(O)=O)c1OC	44	39	2	130	2	136	8	67
13051	COc1cc(cc(c1OC)OCCCCCC(=O)OC)Cc2cnc(nc2N)N	COC(=O)CCCCCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	44	39	2	130	2	136	8	67
13074	COc1cc(cc(c1OC)OCCCCCCC(=O)O)Cc2cnc(nc2N)N	COc1cc(Cc2cnc(N)nc2N)cc(OCCCCCCC(O)=O)c1OC	44	39	2	130	2	136	8	67
13080	COc1cc(cc(c1OC)OCCCCC(=O)OC)Cc2cnc(nc2N)N	COC(=O)CCCCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	44	39	2	130	2	136	8	67
13105	CCOC(=O)CCCOc1cc(cc(c1OC)OC)Cc2cnc(nc2N)N	CCOC(=O)CCCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	44	39	2	130	2	136	8	67
1312	c1ccc2cc(ccc2c1)Sc3ccc4c(c3)c(nc(n4)N)N	Nc1nc(N)c2cc(Sc3ccc4ccccc4c3)ccc2n1	695	4	1275	3	2144	2	1878	2
139719	Cc1cc(c2cc(ccc2n1)NC(=O)/C=C/c3ccccc3)N	Cc1cc(N)c2cc(NC(=O)\C=C\c3ccccc3)ccc2n1	338	9	637	5	1206	3	826	4
139794	Cc1cc(c2cc(ccc2n1)NC(=O)/C=C/c3ccccc3Cl)N	Cc1cc(N)c2cc(NC(=O)\C=C\c3ccccc3Cl)ccc2n1	338	9	637	5	1206	3	826	4
14074	COc1cc2c(cc1C(F)(F)F)N(CC2)C(=O)Nc3cc(cc(c3)Br)c4cccnc4	COc1cc2CCN(C(=O)Nc3cc(Br)cc(c3)-c3cccnc3)c2cc1C(F)(F)F	211	14	319	9	260	10	459	6
1413	CN(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O	CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)NC(CCC(O)=O)C(O)=O	384	8	52	33	80	23	284	8
144769	COc1ccc2c(c1)c(c3ccc(cc3n2)Cl)NCCCCNc4c5ccc(cc5nc6c4cc(cc6)OC)Cl	COc1ccc2nc3cc(Cl)ccc3c(NCCCCNc3c4ccc(Cl)cc4nc4ccc(OC)cc34)c2c1	117	25	1291	3	342	8	24	47
145199	c1ccnc(c1)c2cccc(n2)c3ccccn3	c1ccc(nc1)-c1cccc(n1)-c1ccccn1	1074	2	155	16	104	19	1845	2
1485	c1ccc2cc(ccc2c1)CCc3cccc4c3c(nc(n4)N)N	Nc1nc(N)c2c(CCc3ccc4ccccc4c3)cccc2n1	299	10	1893	2	2184	2	2313	2
151094	CCCC(=O)c1cnc2cc(ccc2c1Nc3ccccc3C)O	CCCC(=O)c1cnc2cc(O)ccc2c1Nc1ccccc1C	696	4	12	67	14	62	34	40
151493	CCCC(=O)c1cnc2c(c1Nc3c(cccc3C)C)cccc2OCCCc4c[nH]cn4	CCCC(=O)c1cnc2c(OCCCc3c[nH]cn3)cccc2c1Nc1c(C)cccc1C	696	4	188	13	14	62	34	40
151977	Cc1cc(ccc1Nc2nc3ccc(cc3c(n2)N(C)c4ccccc4)OCCCN(C)C)F	CN(C)CCCOc1ccc2nc(Nc3ccc(F)cc3C)nc(N(C)c3ccccc3)c2c1	251	12	372	8	293	9	293	8
151989	Cc1ccccc1Nc2c3ccccc3nc(n2)NCCc4ccccc4	Cc1ccccc1Nc1nc(NCCc2ccccc2)nc2ccccc12	251	12	188	13	179	13	360	7
152115	Cc1ccccc1Nc2c3ccccc3nc(n2)NCc4ccccc4	Cc1ccccc1Nc1nc(NCc2ccccc2)nc2ccccc12	251	12	188	13	43	35	421	6
152410	Cc1cc(ccc1Nc2nc3c(cccc3OCCO)c(n2)N(C)c4ccccc4)F	CN(c1ccccc1)c1nc(Nc2ccc(F)cc2C)nc2c(OCCO)cccc12	251	12	372	8	293	9	293	8
152466	Cc1cc(ccc1Nc2nc3ccc(cc3c(n2)N(C)c4ccccc4)OCCN(C)C)F	CN(C)CCOc1ccc2nc(Nc3ccc(F)cc3C)nc(N(C)c3ccccc3)c2c1	251	12	372	8	293	9	293	8
152934	c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)C(C3CCCCN3)O.Cl	OC(C1CCCCN1)c1cc(nc2c(cccc12)C(F)(F)F)C(F)(F)F	300	10	12	67	277	10	370	7
152996	Cc1ccccc1Nc2c3cccc(c3nc(n2)Nc4ccccc4C)OC	COc1cccc2c(Nc3ccccc3C)nc(Nc3ccccc3C)nc12	251	12	372	8	293	9	293	8
159179	c1ccc(cc1)n2c(=O)c3cccnc3s2	O=c1n(sc2ncccc12)-c1ccccc1	1075	2	109	20	242	11	2464	1
161080	c1cc2c(ccnc2cc1Cl)NCCN	NCCNc1ccnc2cc(Cl)ccc12	180	16	5	105	3	126	1	183
162842	c1ccc(cc1)Sc2cccc3c2c(nc(n3)N)N	Nc1nc(N)c2c(Sc3ccccc3)cccc2n1	695	4	12	67	14	62	1934	2
164137	CC(C)CCN1c2ccccc2N(C(=O)C(C1=O)NC(=O)Oc3ccccc3)CC45CC6CC(C4)CC(C6)C5	CC(C)CCN1c2ccccc2N(CC23CC4CC(CC(C4)C2)C3)C(=O)C(NC(=O)Oc2ccccc2)C1=O	1453	1	323	9	281	10	175	13
172625	COc1cc(cc(c1OCCCCC(=O)OC)OC)Cc2cnc(nc2N)N	COC(=O)CCCCOc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC	44	39	2	130	2	136	8	67
172698	CCOC(=O)CCCOc1c(cc(cc1OC)Cc2cnc(nc2N)N)OC	CCOC(=O)CCCOc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC	44	39	2	130	2	136	8	67
174489	Cn1c2c(cc(c1=O)c3c(cccc3Cl)Cl)cnc(n2)Nc4ccc(cc4)N5CCOCC5	Cn1c2nc(Nc3ccc(cc3)N3CCOCC3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O	181	16	579	5	1552	2	1971	2
175722	CN1CCN(CC1)c2ccc(cc2)Nc3c4ccccc4nc5c3cccc5	CN1CCN(CC1)c1ccc(Nc2c3ccccc3nc3ccccc23)cc1	385	8	1489	2	2238	2	2368	2
184676	COc1ccc2c3ccnc(c3[nH]c2c1)/C=C/c4ccc(cc4)N(=O)=O	COc1ccc2c(c1)[nH]c1c(\C=C\c3ccc(cc3)N(=O)=O)nccc21	489	6	1449	2	26	44	7	68
188619	c1ccc(cc1)C[C@H](C(=O)NCC(=O)N2CCC[C@H]2C(=O)O)NC(=O)[C@@H]3CCCN3C(=O)CCCc4ccc(cc4)O	OC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CCCc1ccc(O)cc1	574	5	27	44	156	14	2934	1
1915	Cc1c(cnc2c1c(nc(n2)N)N)Cc3cc(ccc3OC)OC	COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1	89	28	6	92	5	102	21	49
195477	CCOc1cc(cc(c1OCC)OCC)Cc2cnc(nc2N)N	CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1OCC	233	13	2	130	2	136	8	67
196204	COc1c(cc(cc1I)Cc2cnc(nc2N)N)I	COc1c(I)cc(Cc2cnc(N)nc2N)cc1I	129	23	2	130	2	136	8	67
198677	C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C	C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC1CC(=O)NC(=O)C1	828	3	3	116	864	4	2774	1
198896	c1cc2c(c(c1)Sc3ccc(cc3)F)c(nc(n2)N)N	Nc1nc(N)c2c(Sc3ccc(F)cc3)cccc2n1	695	4	12	67	14	62	1934	2
199091	CC1(CC(CC(N1C)(C)C)NC(=O)/C(=C/C=C\c2cc3cc(c(cc3[nH]2)Cl)Cl)/OC)C	CO\C(=C/C=C\c1cc2cc(Cl)c(Cl)cc2[nH]1)C(=O)NC1CC(C)(C)N(C)C(C)(C)C1	45	39	415	7	287	9	7	68
199126	CC1(CC(CC(N1C)(C)C)NC(=O)/C(=C\C=C\c2cc3cc(c(cc3[nH]2)Cl)Cl)/OC)C	CO\C(=C\C=C\c1cc2cc(Cl)c(Cl)cc2[nH]1)C(=O)NC1CC(C)(C)N(C)C(C)(C)C1	45	39	415	7	13	63	7	68
205648	CN(C)CCCNc1c2ccccc2nc3c1cccc3	CN(C)CCCNc1c2ccccc2nc2ccccc12	75	31	29	44	24	48	24	47
2080	CCc1c(c(nc(n1)N)N)c2ccc(cc2)Cl	CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1	182	16	20	55	18	56	56	31
212810	c1ccc2c(c1)cc(nc2N=C(c3cccc(c3)Cl)N)c4ccccn4	NC(=Nc1nc(cc2ccccc12)-c1ccccn1)c1cccc(Cl)c1	1076	2	227	11	403	7	2338	2
213979	c1ccc2c(c1)cc(nc2NC(=O)c3cccc(c3)Cl)c4ccccn4	Clc1cccc(c1)C(=O)Nc1nc(cc2ccccc12)-c1ccccn1	1076	2	227	11	403	7	2338	2
2154	c1ccc(cc1)C2CCc3c(c(nc(n3)N)N)C2	Nc1nc(N)c2CC(CCc2n1)c1ccccc1	697	4	55	32	2277	2	461	6
223684	CCC[C@@H]([C@@H](CC(C)C)C(=O)N[C@@H](CCCN/C(=N/S(=O)(=O)C)/N)C(=O)Nc1nccs1)N(C=O)O	CCC[C@H](N(O)C=O)[C@@H](CC(C)C)C(=O)N[C@@H](CCCN\C(N)=N\S(=O)(=O)C)C(=O)Nc1nccs1	130	23	133	18	218	12	837	4
225445	Cc1c(c(nc(n1)N)N)c2ccc3ccccc3c2	Cc1nc(N)nc(N)c1-c1ccc2ccccc2c1	182	16	1920	2	3	126	56	31
225540	c1ccc(cc1)C(c2ccccc2)OCCC3CCN(CC3)Cc4cccnc4	C(CC1CCN(Cc2cccnc2)CC1)OC(c1ccccc1)c1ccccc1	829	3	196	13	151	15	9	63
22942	Cc1c2ccncc2c(c3c1[nH]c4c3cccc4)C	Cc1c2[nH]c3ccccc3c2c(C)c2cnccc12	1077	2	1980	2	2272	2	2391	2
235264	CCN(CC)CCCC(C)Nc1cc(nc2c1ccc(c2)Cl)C	CCN(CC)CCCC(C)Nc1cc(C)nc2cc(Cl)ccc12	441	7	5	105	3	126	1	183
235599	CN(C)c1cc(c2ccccc2n1)NC(=O)Nc3ccccc3	CN(C)c1cc(NC(=O)Nc2ccccc2)c2ccccc2n1	1078	2	17	62	33	41	36	38
236	CCc1cc2c(s1)ncnc2Sc3nnc(s3)N	CCc1cc2c(Sc3nnc(N)s3)ncnc2s1	301	10	1683	2	2149	2	1148	3
238412	CC(=O)O[C@@H]1[C@H](CN[C@@H]1Cc2ccc(cc2)OC)O	COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)cc1	1454	1	246	11	124	17	942	3
243811	c1ccc2c(c1)c(c3cc(ccc3n2)Cl)N	Nc1c2ccccc2nc2ccc(Cl)cc12	698	4	29	44	24	48	24	47
244515	c1ccc2c(c1)c(c3ccc(cc3n2)Cl)N	Nc1c2ccccc2nc2cc(Cl)ccc12	698	4	29	44	24	48	24	47
24695	c1ccc2c(c1)C(c3ccccc3O2)NC(=O)c4ccccc4O	Oc1ccccc1C(=O)NC1c2ccccc2Oc2ccccc12	830	3	1776	2	350	8	53	31
25387	CCC(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)O	CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(O)=O	1079	2	22	50	37	40	2397	2
255477	COc1ccc2c(c1)c(ccn2)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1	76	31	64	29	52	31	46	34
25811	CC(=O)Nc1ccc(cc1)Nc2c3ccccc3nc4c2cccc4	CC(=O)Nc1ccc(Nc2c3ccccc3nc3ccccc23)cc1	831	3	288	9	271	10	178	12
265416	c1ccc2c(c1)c(=O)cc([nH]2)NCCCNC3CCc4c3cc(cc4Cl)Cl	Clc1cc2C(CCc2c(Cl)c1)NCCCNc1cc(=O)c2ccccc2[nH]1	47	38	635	5	661	5	579	5
265417	CCOc1c(cc(cc1OC)I)CNCCCNc2cc(=O)c3ccccc3[nH]2	CCOc1c(CNCCCNc2cc(=O)c3ccccc3[nH]2)cc(I)cc1OC	46	39	44	36	42	36	16	53
265418	CCOc1c(cc(cc1OC)Br)CNCCCNc2cc(=O)c3ccccc3[nH]2	CCOc1c(CNCCCNc2cc(=O)c3ccccc3[nH]2)cc(Br)cc1OC	46	39	44	36	42	36	16	53
270724	CCN(CC)CCCC(C)Nc1ccnc2c1ccc(c2)Cl.OP(=O)(O)O	CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12	180	16	5	105	3	126	1	183
27350	CCc1c(c(nc(n1)N)N)c2ccc(cc2)C(C)(C)C	CCc1nc(N)nc(N)c1-c1ccc(cc1)C(C)(C)C	182	16	20	55	18	56	56	31
27647	C1C2CC3CC1CC(C2)(C3)N	NC12CC3CC(CC(C3)C1)C2	1455	1	323	9	281	10	175	13
27847	CCc1c(c(nc(n1)N)N)c2ccccc2	CCc1nc(N)nc(N)c1-c1ccccc1	182	16	20	55	18	56	56	31
27914	CCc1c(c(nc(n1)N)N)c2cccc(c2)Cl	CCc1nc(N)nc(N)c1-c1cccc(Cl)c1	182	16	20	55	18	56	56	31
27918	Cc1c(c(nc(n1)N)N)c2ccc(cc2)Cl	Cc1nc(N)nc(N)c1-c1ccc(Cl)cc1	339	9	20	55	18	56	56	31
28009	Cc1c(c(nc(n1)N)N)c2cccc(c2)Cl	Cc1nc(N)nc(N)c1-c1cccc(Cl)c1	339	9	20	55	18	56	56	31
280832	Cc1[nH]c(=O)c2c(n1)ccc3c2cc(cc3)CNc4ccc5c(c4)CN(C5=O)[C@@H](CCC(=O)O)C(=O)O	Cc1nc2ccc3ccc(CNc4ccc5C(=O)N(Cc5c4)[C@@H](CCC(O)=O)C(O)=O)cc3c2c(=O)[nH]1	252	12	1329	3	1019	3	1023	3
