Name	SMILES	PSMI	CLink	N_Clink	Graph_Frame	N_Graph_Frame	Bond_Frame	N_Bond_Frame	Detail_Frame	N_Detail_Frame
281052	Cc1[nH]c(=O)c2c(n1)ccc3c2cc(cc3)CNc4ccc(c(c4)F)C(=O)N[C@@H](CCC(=O)O)C(=O)O	Cc1nc2ccc3ccc(CNc4ccc(C(=O)N[C@@H](CCC(O)=O)C(O)=O)c(F)c4)cc3c2c(=O)[nH]1	252	12	531	6	584	5	410	7
281214	Cc1[nH]c(=O)c2c(n1)ccc3c2cc(cc3)CN(C)c4ccc(cc4)C(=O)N[C@@H](CCC(=O)O)C(=O)O	CN(Cc1ccc2ccc3nc(C)[nH]c(=O)c3c2c1)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O	252	12	531	6	584	5	410	7
281608	Cc1[nH]c(=O)c2c(n1)ccc3c2cc(cc3)CNc4ccc(cc4)C(=O)N[C@@H](CCC(=O)O)C(=O)O	Cc1nc2ccc3ccc(CNc4ccc(cc4)C(=O)N[C@@H](CCC(O)=O)C(O)=O)cc3c2c(=O)[nH]1	252	12	531	6	584	5	410	7
285857	Cc1cc2c(n1C(C)C)ccc3c2c(nc(n3)N)N	CC(C)n1c(C)cc2c1ccc1nc(N)nc(N)c21	171	17	49	34	29	43	37	38
285858	CCc1cc2c(n1CC)ccc3c2c(nc(n3)N)N	CCc1cc2c(ccc3nc(N)nc(N)c23)n1CC	171	17	49	34	29	43	37	38
285940	CCc1cc2c(n1C(C)CC)ccc3c2c(nc(n3)N)N	CCC(C)n1c(CC)cc2c1ccc1nc(N)nc(N)c21	171	17	49	34	29	43	37	38
286068	CCCc1cc2c(n1C(CC)CC)ccc3c2c(nc(n3)N)N	CCCc1cc2c(ccc3nc(N)nc(N)c23)n1C(CC)CC	171	17	49	34	29	43	37	38
286070	COc1cc(cc(c1OC)OC)Cn2ccc3c2ccc4c3c(nc(n4)N)N	COc1cc(Cn2ccc3c2ccc2nc(N)nc(N)c32)cc(OC)c1OC	40	40	154	16	122	18	143	15
286288	CCc1cc2c(n1C(CC)CC)ccc3c2c(nc(n3)N)N	CCC(CC)n1c(CC)cc2c1ccc1nc(N)nc(N)c21	171	17	49	34	29	43	37	38
286520	c1cc2c(c3c1[nH]cc3)c(nc(n2)N)N	Nc1nc(N)c2c3cc[nH]c3ccc2n1	699	4	49	34	29	43	37	38
286526	CC(C)n1c2ccc3c(c2cc1C(C)(C)C)c(nc(n3)N)N	CC(C)n1c(cc2c1ccc1nc(N)nc(N)c21)C(C)(C)C	171	17	49	34	29	43	37	38
286620	CC(C)c1cc2c([nH]1)ccc3c2c(nc(n3)N)N	CC(C)c1cc2c(ccc3nc(N)nc(N)c23)[nH]1	171	17	49	34	29	43	37	38
286631	CCC(CC)n1c(cc2c1ccc3c2c(nc(n3)N)N)C	CCC(CC)n1c(C)cc2c1ccc1nc(N)nc(N)c21	171	17	49	34	29	43	37	38
286710	Cc1ccc(cc1)Cn2ccc3c2ccc4c3c(nc(n4)N)N	Cc1ccc(Cn2ccc3c2ccc2nc(N)nc(N)c32)cc1	40	40	154	16	122	18	143	15
286974	Cc1cc2c(n1C)ccc3c2c(nc(n3)N)N	Cc1cc2c(ccc3nc(N)nc(N)c23)n1C	171	17	49	34	29	43	37	38
287128	Cn1ccc2c1ccc3c2c(nc(n3)N)N	Cn1ccc2c1ccc1nc(N)nc(N)c21	40	40	49	34	29	43	37	38
287211	CCCc1cc2c(n1CC)ccc3c2c(nc(n3)N)N	CCCc1cc2c(ccc3nc(N)nc(N)c23)n1CC	171	17	49	34	29	43	37	38
287314	CCn1c2ccc3c(c2cc1C(C)C)c(nc(n3)N)N	CCn1c(cc2c1ccc1nc(N)nc(N)c21)C(C)C	171	17	49	34	29	43	37	38
287626	Cc1ccccc1CNc2ccc3c(c2)c(nc(n3)N)N	Cc1ccccc1CNc1ccc2nc(N)nc(N)c2c1	340	9	22	50	37	40	534	5
28846	c1cc(ccc1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCc2ccc3c(c2)c(nc(n3)N)O	Nc1nc(O)c2cc(CNc3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)ccc2n1	252	12	52	33	80	23	472	6
288654	CCC(C)(C)n1c(cc2c1ccc3c2c(nc(n3)N)N)C	CCC(C)(C)n1c(C)cc2c1ccc1nc(N)nc(N)c21	171	17	49	34	29	43	37	38
288766	CCc1cc2c(n1C(C)(C)C)ccc3c2c(nc(n3)N)N	CCc1cc2c(ccc3nc(N)nc(N)c23)n1C(C)(C)C	171	17	49	34	29	43	37	38
290944	c1c2c(=O)[nH]c(nc2n(n1)CCCCCCCP(=O)(O)O)N	Nc1nc2n(CCCCCCCP(O)(O)=O)ncc2c(=O)[nH]1	1456	1	131	18	1174	3	2364	2
29571	CCOc1cc(cc(c1n2cccc2)OCC)Cc3cnc(nc3N)N	CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1-n1cccc1	44	39	1183	3	507	6	8	67
29636	c1ccc2c(c1)c(=O)cc([nH]2)NC[C@H]3CCC[C@@H]3NCc4cc(cc(c4)Br)Br	Brc1cc(Br)cc(CN[C@H]2CCC[C@@H]2CNc2cc(=O)c3ccccc3[nH]2)c1	47	38	1745	2	1949	2	1626	2
29652	c1ccc(c(c1)CNc2cc(=O)c3ccccc3[nH]2)NCc4ccc(c(c4)Cl)Cl	Clc1ccc(CNc2ccccc2CNc2cc(=O)c3ccccc3[nH]2)cc1Cl	47	38	311	9	43	35	404	7
29730	c1ccc2c(c1)c(=O)cc([nH]2)NC[C@@H]3CCC[C@@H]3NCc4ccc(c(c4)Cl)Cl	Clc1ccc(CN[C@H]2CCC[C@H]2CNc2cc(=O)c3ccccc3[nH]2)cc1Cl	47	38	1745	2	1949	2	1626	2
301025	CC(C)c1ccc2c(c1)c(c(n2Cc3ccc(cc3)Cl)CC(C)(C)C(=O)OC)SC(C)(C)C	COC(=O)C(C)(C)Cc1c(SC(C)(C)C)c2cc(ccc2n1Cc1ccc(Cl)cc1)C(C)C	1080	2	282	10	132	17	495	6
304114	C[C@@H](CC1CCCCC1)OC(=O)N[C@H]2CCN(C2)C#N	C[C@@H](CC1CCCCC1)OC(=O)N[C@H]1CCN(C1)C#N	832	3	1244	3	892	4	1196	3
30873	CCc1cc(cc(c1OC)CC)Cc2cnc(nc2N)N	CCc1cc(Cc2cnc(N)nc2N)cc(CC)c1OC	129	23	2	130	2	136	8	67
31049	CCCc1cc(cc(c1O)CC=C)Cc2cnc(nc2N)N	CCCc1cc(Cc2cnc(N)nc2N)cc(CC=C)c1O	129	23	2	130	2	136	8	67
31089	CCOc1cc(cc(c1OC)OC)Cc2cnc(nc2N)N	CCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	233	13	2	130	2	136	8	67
31093	CCCc1cc(cc(c1OC)OC)Cc2cnc(nc2N)N	CCCc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	233	13	2	130	2	136	8	67
312899	c1cc(cc(c1)NC(=O)Nc2cccc(c2)C3=NCCN3)C4=NCCN4	O=C(Nc1cccc(c1)C1=NCCN1)Nc1cccc(c1)C1=NCCN1	490	6	1634	2	2248	2	1895	2
313523	COc1ccc2c(c1)c(c[nH]2)C3=CCN(CC3)Cc4ccccc4	COc1ccc2[nH]cc(C3=CCN(Cc4ccccc4)CC3)c2c1	183	16	700	5	301	9	363	7
314465	CC(=O)c1ccc(cc1)NC(=O)Nc2ccc(cc2)N(C)c3ccnc(n3)Nc4cccc(c4)CS(=O)(=O)C	CN(c1ccc(NC(=O)Nc2ccc(cc2)C(C)=O)cc1)c1ccnc(Nc2cccc(CS(C)(=O)=O)c2)n1	386	8	1261	3	1416	3	1634	2
325411	C=CCOc1ccccc1CNCC(c2cc(cs2)Br)O	OC(CNCc1ccccc1OCC=C)c1cc(Br)cs1	833	3	1243	3	431	7	877	4
325414	C=CCOc1ccccc1CNCC(c2cccc(c2)C(F)(F)F)O	OC(CNCc1ccccc1OCC=C)c1cccc(c1)C(F)(F)F	234	13	111	20	126	17	39	37
325415	c1ccc(cc1)COc2ccccc2CNCC(c3cccc(c3)C(F)(F)F)O	OC(CNCc1ccccc1OCc1ccccc1)c1cccc(c1)C(F)(F)F	234	13	439	7	455	7	339	7
325519	c1ccc(cc1)COc2ccccc2CNCC(c3cc(cc(c3)C(F)(F)F)C(F)(F)F)O	OC(CNCc1ccccc1OCc1ccccc1)c1cc(cc(c1)C(F)(F)F)C(F)(F)F	234	13	439	7	455	7	339	7
325551	c1ccc(c(c1)CNCC(c2cccc(c2)C(F)(F)F)O)OC(F)F	OC(CNCc1ccccc1OC(F)F)c1cccc(c1)C(F)(F)F	234	13	111	20	126	17	39	37
325609	Cc1ccccc1CNCC(c2cccc(c2)C(F)(F)F)O	Cc1ccccc1CNCC(O)c1cccc(c1)C(F)(F)F	234	13	111	20	126	17	39	37
325621	c1ccc(cc1)COc2ccccc2CNCC(c3cccc(c3)Cl)O	OC(CNCc1ccccc1OCc1ccccc1)c1cccc(Cl)c1	491	6	439	7	455	7	339	7
325622	c1ccc(cc1)COc2ccccc2CNCC(c3cccc(c3)I)O	OC(CNCc1ccccc1OCc1ccccc1)c1cccc(I)c1	491	6	439	7	455	7	339	7
325648	COc1ccccc1CNCC(c2cc(ccc2C(F)(F)F)C(F)(F)F)O	COc1ccccc1CNCC(O)c1cc(ccc1C(F)(F)F)C(F)(F)F	234	13	111	20	126	17	39	37
325716	c1ccc(c(c1)CNCC(c2cccc(c2)C(F)(F)F)O)O	OC(CNCc1ccccc1O)c1cccc(c1)C(F)(F)F	234	13	111	20	126	17	39	37
325717	c1ccc(cc1)COc2ccccc2CNCC(c3cc(cs3)Br)O	OC(CNCc1ccccc1OCc1ccccc1)c1cc(Br)cs1	833	3	27	44	109	19	59	29
325791	c1ccc(cc1)Oc2ccccc2CNCC(c3cc(cs3)Br)O	OC(CNCc1ccccc1Oc1ccccc1)c1cc(Br)cs1	833	3	27	44	2	136	53	31
328150	CCCCc1ccc(cc1)C(=O)Nc2ccc3c(c2)c(cc(n3)N4CCN(CC4)CC)C	CCCCc1ccc(cc1)C(=O)Nc1ccc2nc(cc(C)c2c1)N1CCN(CC)CC1	280	11	77	24	82	23	141	15
339944	c1ccc(cc1)c2nc(cc(n2)NCCCn3ccnc3)c4ccncc4	C(CNc1cc(nc(n1)-c1ccccc1)-c1ccncc1)Cn1ccnc1	212	14	827	4	764	4	2471	1
341892	COc1cc2c(cc1OCCCN3CCOCC3)ncnc2Nc4ccc(cc4)NC(=O)c5ccccc5	COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1	165	18	94	22	73	24	212	11
345190	c1cc2c(cc1N(=O)=O)nccn2	O=N(=O)c1ccc2nccnc2c1	1457	1	5	105	3	126	405	7
