"CompoundID"	"FragD"	"FragB"	"Cd"	"Cb"	"IntDB"	"UnionDB"	"CommonPropDB"	"PId"	"PIb"	"PIdU"	"PIbU"	"FragEffD"	"FragEffB"
530154	1	5	29	630	29	630	0.046031746031746	0.046031746031746	1	0	0.953968253968254	29	126
534099	1	5	29	630	29	630	0.046031746031746	0.046031746031746	1	0	0.953968253968254	29	126
526191	1	6	36	814	36	814	0.0442260442260442	0.0442260442260442	1	0	0.955773955773956	36	135.666666666667
529531	1	6	36	814	36	814	0.0442260442260442	0.0442260442260442	1	0	0.955773955773956	36	135.666666666667
530189	1	8	254	2945	254	2945	0.0862478777589134	0.0862478777589134	1	0	0.913752122241087	254	368.125
530938	1	8	254	2945	254	2945	0.0862478777589134	0.0862478777589134	1	0	0.913752122241087	254	368.125
531294	1	8	254	2945	254	2945	0.0862478777589134	0.0862478777589134	1	0	0.913752122241087	254	368.125
531771	1	8	254	2945	254	2945	0.0862478777589134	0.0862478777589134	1	0	0.913752122241087	254	368.125
532654	1	8	254	2945	254	2945	0.0862478777589134	0.0862478777589134	1	0	0.913752122241087	254	368.125
532971	1	8	254	2945	254	2945	0.0862478777589134	0.0862478777589134	1	0	0.913752122241087	254	368.125
533556	1	8	254	2945	254	2945	0.0862478777589134	0.0862478777589134	1	0	0.913752122241087	254	368.125
535975	1	8	254	2945	254	2945	0.0862478777589134	0.0862478777589134	1	0	0.913752122241087	254	368.125
536078	1	8	254	2945	254	2945	0.0862478777589134	0.0862478777589134	1	0	0.913752122241087	254	368.125
530215	1	8	2	615	2	615	0.0032520325203252	0.0032520325203252	1	0	0.996747967479675	2	76.875
531613	1	8	16	521	16	521	0.0307101727447217	0.0307101727447217	1	0	0.969289827255278	16	65.125
532624	1	4	16	521	16	521	0.0307101727447217	0.0307101727447217	1	0	0.969289827255278	16	130.25
536680	1	7	16	521	16	521	0.0307101727447217	0.0307101727447217	1	0	0.969289827255278	16	74.4285714285714
539953	1	7	16	534	16	534	0.0299625468164794	0.0299625468164794	1	0	0.970037453183521	16	76.2857142857143
541432	1	7	16	521	16	521	0.0307101727447217	0.0307101727447217	1	0	0.969289827255278	16	74.4285714285714
527806	1	6	113	605	113	605	0.186776859504132	0.186776859504132	1	0	0.813223140495868	113	100.833333333333
529287	1	6	9	539	9	539	0.0166975881261596	0.0166975881261596	1	0	0.98330241187384	9	89.8333333333333
534416	1	6	113	605	113	605	0.186776859504132	0.186776859504132	1	0	0.813223140495868	113	100.833333333333
534497	1	5	113	615	113	615	0.183739837398374	0.183739837398374	1	0	0.816260162601626	113	123
539335	1	6	113	605	113	605	0.186776859504132	0.186776859504132	1	0	0.813223140495868	113	100.833333333333
540718	1	3	113	585	113	585	0.193162393162393	0.193162393162393	1	0	0.806837606837607	113	195
540778	1	3	113	585	113	585	0.193162393162393	0.193162393162393	1	0	0.806837606837607	113	195
541123	1	6	113	605	113	605	0.186776859504132	0.186776859504132	1	0	0.813223140495868	113	100.833333333333
524545	1	4	10	167	10	167	0.0598802395209581	0.0598802395209581	1	0	0.940119760479042	10	41.75
527997	1	4	10	167	10	167	0.0598802395209581	0.0598802395209581	1	0	0.940119760479042	10	41.75
531429	1	4	10	167	10	167	0.0598802395209581	0.0598802395209581	1	0	0.940119760479042	10	41.75
534587	1	4	10	167	10	167	0.0598802395209581	0.0598802395209581	1	0	0.940119760479042	10	41.75
538004	1	13	8	2010	8	2010	0.00398009950248756	0.00398009950248756	1	0	0.996019900497512	8	154.615384615385
541040	1	4	10	167	10	167	0.0598802395209581	0.0598802395209581	1	0	0.940119760479042	10	41.75
541151	1	4	10	167	10	167	0.0598802395209581	0.0598802395209581	1	0	0.940119760479042	10	41.75
541270	1	4	10	167	10	167	0.0598802395209581	0.0598802395209581	1	0	0.940119760479042	10	41.75
524915	1	5	19	152	19	152	0.125	0.125	1	0	0.875	19	30.4
525704	1	6	19	415	19	415	0.0457831325301205	0.0457831325301205	1	0	0.95421686746988	19	69.1666666666667
526589	1	5	19	152	19	152	0.125	0.125	1	0	0.875	19	30.4
528707	1	5	19	152	19	152	0.125	0.125	1	0	0.875	19	30.4
530147	1	4	19	199	19	199	0.0954773869346734	0.0954773869346734	1	0	0.904522613065327	19	49.75
531105	1	8	19	223	19	223	0.0852017937219731	0.0852017937219731	1	0	0.914798206278027	19	27.875
533974	1	6	19	157	19	157	0.121019108280255	0.121019108280255	1	0	0.878980891719745	19	26.1666666666667
534332	1	8	19	223	19	223	0.0852017937219731	0.0852017937219731	1	0	0.914798206278027	19	27.875
534999	1	8	19	223	19	223	0.0852017937219731	0.0852017937219731	1	0	0.914798206278027	19	27.875
535132	1	6	19	190	19	190	0.1	0.1	1	0	0.9	19	31.6666666666667
535557	1	6	19	190	19	190	0.1	0.1	1	0	0.9	19	31.6666666666667
536856	1	8	19	223	19	223	0.0852017937219731	0.0852017937219731	1	0	0.914798206278027	19	27.875
538390	1	5	19	152	19	152	0.125	0.125	1	0	0.875	19	30.4
538480	1	3	19	152	19	152	0.125	0.125	1	0	0.875	19	50.6666666666667
539218	1	5	19	152	19	152	0.125	0.125	1	0	0.875	19	30.4
539396	1	8	19	223	19	223	0.0852017937219731	0.0852017937219731	1	0	0.914798206278027	19	27.875
539828	1	5	19	152	19	152	0.125	0.125	1	0	0.875	19	30.4
541560	1	4	19	152	19	152	0.125	0.125	1	0	0.875	19	38
542425	1	6	19	157	19	157	0.121019108280255	0.121019108280255	1	0	0.878980891719745	19	26.1666666666667
525039	1	7	111	228	85	254	0.334645669291339	0.437007874015748	0.897637795275591	0.102362204724409	0.562992125984252	111	32.5714285714286
525878	1	7	111	228	85	254	0.334645669291339	0.437007874015748	0.897637795275591	0.102362204724409	0.562992125984252	111	32.5714285714286
528038	1	8	111	233	82	262	0.312977099236641	0.423664122137405	0.889312977099237	0.110687022900763	0.576335877862595	111	29.125
